0,-387
1,-320
2,-440
3,-580
4,-738
5,-910
6,-1094
7,-1282
8,-1468
9,-1643
10,-1798
11,-1921
12,-2000
13,-2023
14,-1977
15,-1848
16,-1626
17,-1298
18,-856
19,-290
20,405
21,1231
22,2188
23,3274
24,4481
25,5799
26,7214
27,8709
28,10264
29,11857
30,13463
31,15054
32,16604
33,18084
34,19468
35,20729
36,21841
37,22784
38,23538
39,24088
40,24423
41,24535
42,24423
43,24088
44,23538
45,22784
46,21841
47,20729
48,19468
49,18084
50,16604
51,15054
52,13463
53,11857
54,10264
55,8709
56,7214
57,5799
58,4481
59,3274
60,2188
61,1231
62,405
63,-290
64,-856
65,-1298
66,-1626
67,-1848
68,-1977
69,-2023
70,-2000
71,-1921
72,-1798
73,-1643
74,-1468
75,-1282
76,-1094
77,-910
78,-738
79,-580
80,-440
81,-320
82,-387
