0,-58
1,32
2,121
3,244
4,351
5,378
6,284
7,72
8,-189
9,-390
10,-422
11,-238
12,109
13,471
14,660
15,543
16,117
17,-453
18,-899
19,-960
20,-532
21,257
22,1060
23,1461
24,1172
25,213
26,-1045
27,-1999
28,-2089
29,-1092
30,699
31,2513
32,3401
33,2671
34,291
35,-2939
36,-5567
37,-5986
38,-3084
39,3221
40,11790
41,20527
42,27040
43,29448
44,27040
45,20527
46,11790
47,3221
48,-3084
49,-5986
50,-5567
51,-2939
52,291
53,2671
54,3401
55,2513
56,699
57,-1092
58,-2089
59,-1999
60,-1045
61,213
62,1172
63,1461
64,1060
65,257
66,-532
67,-960
68,-899
69,-453
70,117
71,543
72,660
73,471
74,109
75,-238
76,-422
77,-390
78,-189
79,72
80,284
81,378
82,351
83,244
84,121
85,32
86,-58
