Alpha DS Number,Beta DS Number,0000001,0000010,0000100,0001000,0010000,0100000,1000000
1,151,82,164,55,151,29,58,116
2,150,97,14,125,70,237,45,173
3,149,-28,-84,267,43,114,242,7
4,148,57,114,100,72,16,32,64
5,147,29,130,87,73,146,18,36
6,146,44,88,59,74,75,106,139
7,145,15,119,45,90,76,167,141
8,144,226,196,136,16,32,64,128
9,143,46,260,31,1,63,65,84
10,142,-62,233,16,1,33,97,225
11,141,331,16,32,1,2,67,323
12,140,9999,9999,9999,1,2,4,8
13,139,309,49,33,1,2,4,317
14,138,347,215,17,1,2,351,223
15,137,84,17,118,1,86,21,42
16,136,222,188,120,1,224,192,128
17,135,139,35,70,192,89,39,26
18,134,106,318,230,54,214,22,150
19,133,36,108,252,37,92,220,9
20,132,55,110,92,56,112,96,64
21,131,56,112,75,57,21,135,121
22,130,38,114,266,58,154,346,218
23,129,116,39,329,233,41,140,29
24,128,138,20,40,80,160,64,128
25,127,201,161,81,182,123,5,10
26,126,82,246,62,206,23,46,174
27,125,21,63,126,64,128,47,94
28,124,9999,43,22,44,24,48,32
29,123,22,131,66,45,68,49,98
30,122,67,223,23,135,25,50,167
31,121,23,319,69,47,-20,74,239
32,120,70,140,24,48,96,29,128
33,119,24,48,96,73,3,6,131
34,118,49,171,147,99,3,6,61
35,117,100,300,-149,9999,28,156,9999
36,116,77,26,52,104,80,32,64
37,115,79,53,27,133,82,59,197
38,114,54,162,-53,298,138,330,202
39,113,111,28,167,57,-52,7,263
40,112,57,171,143,87,32,7,71
41,111,88,59,1,31,33,95,161
42,110,181,121,1,32,64,128,15
43,109,-124,9999,1,2,35,163,9999
44,108,9999,9999,1,2,4,8,16
45,107,-132,9999,1,2,4,-124,9999
46,106,171,103,1,2,175,111,17
47,105,71,177,1,108,75,44,53
48,104,110,37,1,112,41,9,128
49,103,76,228,39,116,308,199,19
50,102,79,40,80,160,5,128,59
51,101,164,-245,124,9999,5,92,348
52,100,43,86,44,88,48,96,64
53,99,45,-44,46,181,50,11,245
54,98,47,187,48,3,99,58,163
55,97,49,147,99,3,6,12,73
56,96,154,52,104,3,160,64,128
57,95,108,1,271,111,276,175,27
58,94,114,1,286,174,7,14,142
59,93,121,1,2,64,128,15,30
60,92,9999,1,2,4,8,16,32
61,91,69,1,2,4,77,17,34
62,90,147,1,2,151,9,18,183
63,89,158,1,81,5,10,177,118
64,88,86,1,88,5,96,21,128
65,87,1,281,3,6,105,23,233
66,86,1,104,3,6,13,128,51
67,85,1,2,117,7,14,28,57
68,84,1,2,4,8,16,32,64
69,83,1,2,4,9,18,36,73
70,82,1,2,5,10,21,42,85
71,81,1,3,6,12,25,51,102
72,80,1,3,7,15,31,63,127
73,79,2,4,10,20,42,84,170
74,78,2,6,14,30,62,126,254
75,77,4,12,28,60,124,252,9999
76,76,9999,9999,9999,9999,9999,9999,9999
77,75,-13,-21,-37,-69,-133,-261,9999
78,74,-7,-11,-19,-35,-67,-131,250
79,73,335,332,327,316,295,252,167
80,72,251,249,245,237,221,189,125
81,71,201,200,196,190,177,152,100
82,70,168,166,164,158,148,126,84
83,69,144,143,140,136,127,108,72
84,68,126,125,123,119,111,95,63
85,67,112,111,109,106,99,84,56
86,66,101,100,98,95,89,76,50
87,65,185,91,-4,273,81,69,46
88,64,84,83,82,79,74,63,42
89,63,156,77,233,73,68,137,39
90,62,72,291,70,68,283,54,36
91,61,67,135,134,200,59,119,102
92,60,63,9999,9999,9999,9999,9999,9999
93,59,240,59,58,56,52,105,90
94,58,56,226,282,53,106,42,28
95,57,53,268,-2,50,316,40,188
96,56,204,50,49,150,198,38,25
97,55,48,145,47,94,91,36,24
98,54,139,92,231,183,87,81,23
99,53,133,88,221,86,83,33,22
100,52,42,127,41,125,37,117,21
101,51,204,40,244,38,9999,276,20
102,50,78,196,156,76,34,108,98
103,49,151,37,188,111,33,28,284
104,48,36,182,35,34,178,27,18
105,47,70,105,34,68,66,132,88
106,46,136,204,67,100,132,196,51
107,45,9999,-100,197,229,293,9999,-116
108,44,9999,9999,9999,9999,9999,9999,9999
109,43,9999,-156,123,91,27,23,-140
110,42,120,180,29,28,26,173,45
111,41,58,87,28,115,201,51,73
112,40,28,113,141,197,53,21,14
113,39,55,27,82,81,24,159,69
114,38,242,134,-1,25,158,20,94
115,37,52,157,104,77,49,72,13
116,36,102,25,127,75,99,19,115
117,35,9999,324,24,148,-253,9999,212
118,34,24,97,121,47,143,18,12
119,33,71,47,142,46,92,113,107
120,32,116,46,162,138,90,87,58
121,31,159,45,295,135,88,199,34
122,30,111,44,155,43,86,61,11
123,29,65,43,21,42,106,38,76
124,28,21,9999,9999,9999,9999,9999,9999
125,27,125,104,20,103,39,120,52
126,26,102,20,122,19,202,138,10
127,25,80,120,200,99,158,35,30
128,24,39,98,78,38,17,54,49
129,23,19,212,289,18,36,53,164
130,22,322,246,94,302,206,14,142
131,21,37,74,111,129,72,51,65
132,20,18,91,109,17,89,105,9
133,19,341,269,125,340,285,157,-45
134,18,35,282,17,34,33,66,44
135,17,208,17,34,155,15,65,78
136,16,68,102,170,50,66,98,162
137,15,134,50,100,66,132,46,25
138,14,231,-50,115,131,163,227,355
139,13,16,341,-212,-180,-116,12,8
140,12,9999,9999,9999,9999,9999,9999,9999
141,11,47,299,283,251,187,59,55
142,10,217,341,77,61,29,27,349
143,9,15,76,30,60,105,103,252
144,8,60,90,150,14,13,222,158
145,7,74,59,133,88,191,11,37
146,6,29,102,14,116,159,84,95
147,5,43,115,86,172,99,54,108
148,4,14,85,99,127,55,39,7
149,3,98,154,266,13,-44,291,35
150,2,69,55,41,82,12,121,76
151,1,68,27,95,40,162,92,34
